datestop=5242014, pct=66, crimsusp=FEL, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=B, agerange=40-49, htrange=5'5''- 5'11'', weightrange=190-199, haircolor=BA, eyecolor=BR, build=T, premname=SIDEWALK, city=BROOKLYN
datestop=5272014, pct=106, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=<20, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=QUEENS
datestop=5142014, pct=102, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=A, agerange=<20, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=QUEENS
datestop=5212014, pct=107, crimsusp=ROBBERY, typeofid=V, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=F, race=B, agerange=<20, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BR, eyecolor=BR, build=T, premname=SIDEWALK, city=QUEENS
datestop=5022014, pct=67, crimsusp=CPW, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5052014, pct=14, crimsusp=MISD, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=200-224, haircolor=BK, eyecolor=BR, build=H, premname=PUBLIC SIDEWALK, city=MANHATTAN
datestop=5222014, pct=114, crimsusp=FELONY, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=Q, agerange=30-39, htrange=5'5''- 5'11'', weightrange=200-224, haircolor=BA, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5022014, pct=121, crimsusp=BANK BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BR, eyecolor=BR, build=Z, premname=BANK, city=STATEN ISLAND
datestop=5072014, pct=76, crimsusp=FEL, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=40-49, htrange=5'0''- 5'5'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5162014, pct=102, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=<20, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BR, eyecolor=BR, build=M, premname=SIDEWALK, city=QUEENS
datestop=5142014, pct=114, crimsusp=CPW, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=<20, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BR, eyecolor=BR, build=M, premname=SIDEWALK, city=QUEENS
datestop=5122014, pct=30, crimsusp=FEL / BURG, typeofid=R, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=M, premname=APT BUILDING, city=MANHATTAN
datestop=5222014, pct=102, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=6'0''- 6'5'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=QUEENS
datestop=5132014, pct=112, crimsusp=FEL/GL, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=<20, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BK, eyecolor=GR, build=M, premname=RESIDENTIAL, city=QUEENS
datestop=5022014, pct=41, crimsusp=CPW, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=P, agerange=20-29, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=T, premname=SIDEWALK, city=BRONX
datestop=5092014, pct=70, crimsusp=MIS/CPW, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=BLDG, city=BROOKLYN
datestop=5142014, pct=62, crimsusp=CPM, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=<20, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5112014, pct=9, crimsusp=GRAND LARCENY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=MANHATTAN
datestop=5082014, pct=66, crimsusp=FEL, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=BROOKLYN
datestop=5132014, pct=112, crimsusp=MISD, typeofid=R, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BK, build=M, premname=STREET, city=QUEENS
datestop=5202014, pct=60, crimsusp=MISD, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=F, race=W, agerange=<20, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BL, build=M, premname=, city=BROOKLYN
datestop=5062014, pct=61, crimsusp=ASSAULT 3, typeofid=P, arstmade=Y, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=30-39, htrange=6'0''- 6'5'', weightrange=200-224, haircolor=BK, eyecolor=BR, build=H, premname=STREET/CAR, city=BROOKLYN
datestop=5022014, pct=83, crimsusp=CPW, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BK, build=T, premname=RESIDENTIAL, city=BROOKLYN
datestop=5292014, pct=103, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=F, race=W, agerange=20-29, htrange=5'0''- 5'5'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=H, premname=HOTEL, city=QUEENS
datestop=5262014, pct=122, crimsusp=GLA/CPSP-M.C., typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=20-29, htrange=6'0''- 6'5'', weightrange=190-199, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=STATEN ISLAND
datestop=5302014, pct=28, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=F, race=B, agerange=20-29, htrange=5'0''- 5'5'', weightrange=160-169, haircolor=BK, eyecolor=BK, build=M, premname=STREET, city=MANHATTAN
datestop=5202014, pct=112, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=50+, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=GY, eyecolor=BR, build=M, premname=SIDEWALK, city=QUEENS
datestop=5132014, pct=120, crimsusp=CPCS, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BR, eyecolor=BR, build=T, premname=STREET, city=STATEN ISLAND
datestop=5012014, pct=47, crimsusp=FEL, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=BRONX
datestop=5102014, pct=113, crimsusp=MISDEMEANOR, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=200-224, haircolor=BK, eyecolor=BR, build=M, premname=STREET / CAR, city=QUEENS
datestop=5202014, pct=28, crimsusp=FEL, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=PUBLIC SIDEWALK, city=MANHATTAN
datestop=5072014, pct=62, crimsusp=FEL, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=A, agerange=30-39, htrange=6'0''- 6'5'', weightrange=250+, haircolor=BL, eyecolor=BR, build=H, premname=VEHICLE, city=BROOKLYN
datestop=5022014, pct=83, crimsusp=CPW, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BR, eyecolor=BR, build=T, premname=RESIDENTIAL, city=BROOKLYN
datestop=5222014, pct=66, crimsusp=FEL, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'0''- 5'5'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5152014, pct=102, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=40-49, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=M, premname=GARAGE/SIDEWALK, city=QUEENS
datestop=5222014, pct=115, crimsusp=GRAND LARCENY, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=<20, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=COMMERCIAL, city=QUEENS
datestop=5092014, pct=114, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=20-29, htrange=6'0''- 6'5'', weightrange=<150, haircolor=BR, eyecolor=BR, build=T, premname=SIDEWALK, city=QUEENS
datestop=5242014, pct=122, crimsusp=BURG, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=30-39, htrange=6'0''- 6'5'', weightrange=225-249, haircolor=BR, eyecolor=BR, build=H, premname=RESIDENTIAL HOUSE, city=STATEN ISLAND
datestop=5102014, pct=44, crimsusp=FELONY CPW, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=50+, htrange=6'0''- 6'5'', weightrange=160-169, haircolor=BR, eyecolor=BR, build=M, premname=APT. BUILDING, city=BRONX
datestop=5202014, pct=28, crimsusp=FEL, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=PUBLIC SIDEWALK, city=MANHATTAN
datestop=5212014, pct=105, crimsusp=FELONY, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=A, agerange=40-49, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5252014, pct=114, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=<20, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=BR, eyecolor=BR, build=T, premname=STREET, city=QUEENS
datestop=5212014, pct=10, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=6'0''- 6'5'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=SIDEWALK, city=MANHATTAN
datestop=5162014, pct=107, crimsusp=GRAND LARCENY, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=W, agerange=20-29, htrange=6'0''- 6'5'', weightrange=180-189, haircolor=RA, eyecolor=GR, build=T, premname=SIDEWALK, city=QUEENS
datestop=5022014, pct=83, crimsusp=CPW, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=Z, race=Z, agerange=<20, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BR, eyecolor=BR, build=T, premname=RESIDENTIAL, city=BROOKLYN
datestop=5302014, pct=44, crimsusp=CPW, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BRONX
datestop=5102014, pct=62, crimsusp=MISD, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=Y, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=BROOKLYN
datestop=5202014, pct=114, crimsusp=FEL, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=N, contrabn=N, sex=F, race=B, agerange=<20, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5102014, pct=106, crimsusp=FELONY - (CPW), typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=F, race=Q, agerange=30-39, htrange=5'5''- 5'11'', weightrange=250+, haircolor=BR, eyecolor=BR, build=H, premname=STREET, city=QUEENS
datestop=5072014, pct=111, crimsusp=CPM, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=OCONNOR PARK, city=QUEENS
datestop=5042014, pct=41, crimsusp=GRAND LARCENY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=6'0''- 6'5'', weightrange=200-224, haircolor=BK, eyecolor=BK, build=T, premname=PUBLIC SIDEWALK, city=BRONX
datestop=5022014, pct=113, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=QUEENS
datestop=5232014, pct=102, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=PUBLIC STREET, city=QUEENS
datestop=5062014, pct=104, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5022014, pct=83, crimsusp=MISD, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=PUBLIC SIDEWALK, city=BROOKLYN
datestop=5072014, pct=107, crimsusp=GRAND LARCENY, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=A, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5082014, pct=32, crimsusp=ROBBERY, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=SIDEWALK, city=MANHATTAN
datestop=5052014, pct=88, crimsusp=MISD, typeofid=P, arstmade=Y, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=F, race=B, agerange=20-29, htrange=5'0''- 5'5'', weightrange=170-179, haircolor=BK, eyecolor=BK, build=M, premname=ROOF, city=BROOKLYN
datestop=5072014, pct=120, crimsusp=ROBBERY, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=Y, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=T, premname=ELEVATOR ROOM, city=STATEN ISLAND
datestop=5092014, pct=7, crimsusp=MISD, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=50+, htrange=6'0''- 6'5'', weightrange=200-224, haircolor=GY, eyecolor=BR, build=M, premname=HALLWAY, city=MANHATTAN
datestop=5022014, pct=52, crimsusp=ROBBERY FELONY, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=, city=BRONX
datestop=5022014, pct=83, crimsusp=FEL, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=PUBLIC SIDEWALK, city=BROOKLYN
datestop=5222014, pct=62, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=A, agerange=20-29, htrange=5'0''- 5'5'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=SIDEWALK, city=BROOKLYN
datestop=5142014, pct=79, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=6'0''- 6'5'', weightrange=160-169, haircolor=SP, eyecolor=BR, build=T, premname=SIDEWALK, city=BROOKLYN
datestop=5092014, pct=101, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=50+, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5132014, pct=44, crimsusp=CPW, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=6'0''- 6'5'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BRONX
datestop=5022014, pct=113, crimsusp=MISDEMEANOR, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BR, eyecolor=BR, build=T, premname=STREET, city=QUEENS
datestop=5162014, pct=42, crimsusp=ROBBERY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=Z, premname=SIDEWALK, city=BRONX
datestop=5142014, pct=90, crimsusp=FELONY, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5102014, pct=109, crimsusp=GRAND LARCENY, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=COMMERCIAL, city=QUEENS
datestop=5292014, pct=44, crimsusp=CPW, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=P, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BRONX
datestop=5012014, pct=107, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=30-39, htrange=5'0''- 5'5'', weightrange=180-189, haircolor=BK, eyecolor=BR, build=M, premname=SUBWAY, city=QUEENS
datestop=5082014, pct=13, crimsusp=UNAUTHORIZED SALE OF, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=Q, agerange=50+, htrange=5'0''- 5'5'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=MEZZANINE (POST 0422), city=MANHATTAN
datestop=5202014, pct=67, crimsusp=MISD, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=Y, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'0''- 5'5'', weightrange=170-179, haircolor=BR, eyecolor=BR, build=M, premname=APT BUILDING, city=BROOKLYN
datestop=5272014, pct=109, crimsusp=GLA, typeofid=O, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=30-39, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5112014, pct=106, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=F, race=Z, agerange=30-39, htrange=5'0''- 5'5'', weightrange=190-199, haircolor=BR, eyecolor=BR, build=H, premname=STREET`, city=QUEENS
datestop=5012014, pct=114, crimsusp=CPW, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=225-249, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5022014, pct=83, crimsusp=FEL, typeofid=V, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=PUBLIC SIDEWALK, city=BROOKLYN
datestop=5052014, pct=9, crimsusp=FEL, typeofid=P, arstmade=Y, offunif=Y, frisked=Y, searched=Y, contrabn=N, sex=M, race=Q, agerange=30-39, htrange=6'0''- 6'5'', weightrange=170-179, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=MANHATTAN
datestop=5072014, pct=44, crimsusp=CPW, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=BRONX
datestop=5102014, pct=44, crimsusp=CPW, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=6'0''- 6'5'', weightrange=225-249, haircolor=BR, eyecolor=BK, build=M, premname=SIDEWALK, city=BRONX
datestop=5082014, pct=79, crimsusp=CPW, typeofid=V, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=180-189, haircolor=BK, eyecolor=BK, build=M, premname=STREET, city=BROOKLYN
datestop=5072014, pct=48, crimsusp=CPW, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=BRONX
datestop=5022014, pct=113, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=Z, race=B, agerange=50+, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5292014, pct=72, crimsusp=FEL, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=50+, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=BROOKLYN
datestop=5212014, pct=50, crimsusp=FELONY, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=P, agerange=50+, htrange=6'0''- 6'5'', weightrange=250+, haircolor=BK, eyecolor=BR, build=H, premname=VEHICLE, city=BRONX
datestop=5022014, pct=107, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=<20, htrange=5'0''- 5'5'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
datestop=5162014, pct=120, crimsusp=THEFT OF SERVICES, typeofid=P, arstmade=Y, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=M, premname=BUS STOP, city=STATEN ISLAND
datestop=5082014, pct=102, crimsusp=MISD, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=Y, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=5'0''- 5'5'', weightrange=<150, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=QUEENS
datestop=5142014, pct=62, crimsusp=CPM, typeofid=P, arstmade=N, offunif=N, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=20-29, htrange=5'5''- 5'11'', weightrange=150-159, haircolor=BK, eyecolor=BR, build=T, premname=STREET, city=BROOKLYN
datestop=5242014, pct=34, crimsusp=FEL, typeofid=V, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=Q, agerange=20-29, htrange=6'0''- 6'5'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=SIDEWALK, city=MANHATTAN
datestop=5102014, pct=122, crimsusp=BURG, typeofid=P, arstmade=N, offunif=Y, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=30-39, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BR, eyecolor=BR, build=M, premname=STREET, city=STATEN ISLAND
datestop=5012014, pct=9, crimsusp=PETIT LARCENY (MISD), typeofid=P, arstmade=Y, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=W, agerange=30-39, htrange=6'0''- 6'5'', weightrange=190-199, haircolor=BK, eyecolor=BR, build=M, premname=SIDEWALK, city=MANHATTAN
datestop=5022014, pct=121, crimsusp=ROBBERY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=B, agerange=<20, htrange=5'5''- 5'11'', weightrange=170-179, haircolor=BK, eyecolor=BR, build=M, premname=COMM, city=STATEN ISLAND
datestop=5072014, pct=7, crimsusp=CRIM TRES, typeofid=R, arstmade=N, offunif=Y, frisked=N, searched=N, contrabn=N, sex=M, race=B, agerange=20-29, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=T, premname=LOBBY, city=MANHATTAN
datestop=5022014, pct=107, crimsusp=BURGLARY, typeofid=P, arstmade=N, offunif=N, frisked=Y, searched=N, contrabn=N, sex=M, race=W, agerange=<20, htrange=5'5''- 5'11'', weightrange=160-169, haircolor=BK, eyecolor=BR, build=M, premname=STREET, city=QUEENS
